"index","Date","Open","High","Low","Close"
"425",2002-09-13,889.81,892.5,877.17,889.81
"426",2002-09-16,891.1,891.65,879.17,891.1
"427",2002-09-17,873.52,902.63,872.4,873.52
"428",2002-09-18,869.46,878.3,857.4,869.46
"429",2002-09-19,843.32,869.46,843.11,843.32
"430",2002-09-20,845.39,849.35,839.22,845.39
"431",2002-09-23,833.7,845.39,825.81,833.7
"432",2002-09-24,819.29,833.77,817.65,819.29
"433",2002-09-25,839.66,843.92,818.52,839.66
"434",2002-09-26,854.95,856.59,839.66,854.95
"435",2002-09-27,827.37,854.95,826.91,827.37
"436",2002-09-30,815.28,827.37,800.26,815.28
"437",2002-10-01,847.91,847.93,812.83,847.91
"438",2002-10-02,827.91,851.91,826.6,827.91
"439",2002-10-03,818.95,839.76,817.46,818.95
"440",2002-10-04,800.58,825.86,794.17,800.58
"441",2002-10-07,785.28,808.18,783.06,785.28
"442",2002-10-08,798.55,808.79,779.55,798.55
"443",2002-10-09,776.76,798.55,775.86,776.76
"444",2002-10-10,803.92,806.48,768.67,803.92
"445",2002-10-11,835.32,843.1,803.92,835.32
"446",2002-10-14,841.44,844.44,828.48,841.44
"447",2002-10-15,881.27,881.27,841.44,881.27
"448",2002-10-16,860.02,881.27,856.28,860.02
"449",2002-10-17,879.2,885.3,860.22,879.2
"450",2002-10-18,884.39,886.47,866.66,884.39
"451",2002-10-21,899.72,900.67,873.16,899.72
"452",2002-10-22,890.16,899.72,882.48,890.16
"453",2002-10-23,896.14,896.14,873.89,896.14
"454",2002-10-24,882.5,902.88,879.03,882.5
"455",2002-10-25,897.65,897.65,877.18,897.65
"456",2002-10-28,890.23,907.51,886.16,890.23
"457",2002-10-29,882.15,890.59,867.96,882.15
"458",2002-10-30,890.71,895.09,879.27,890.71
"459",2002-10-31,885.76,898.58,879.75,885.76
"460",2002-11-01,900.96,903.26,877.82,900.96
"461",2002-11-04,908.35,924.55,900.96,908.35
"462",2002-11-05,915.39,915.82,905.03,915.39
"463",2002-11-06,923.76,925.67,905.49,923.76
"464",2002-11-07,902.65,923.76,898.72,902.65
"465",2002-11-08,894.74,910.1,891.66,894.74
"466",2002-11-11,876.19,894.74,874.66,876.19
"467",2002-11-12,882.95,894.24,876.19,882.95
"468",2002-11-13,882.53,892.32,872.16,882.53
"469",2002-11-14,904.27,904.27,882.53,904.27
"470",2002-11-15,909.83,910.18,895.4,909.83
"471",2002-11-18,900.36,915.91,899.51,900.36
"472",2002-11-19,896.74,905.36,893.1,896.74
"473",2002-11-20,914.15,914.99,894.95,914.15
"474",2002-11-21,933.76,935.13,914.15,933.76
"475",2002-11-22,930.55,937.27,928.42,930.55
"476",2002-11-25,932.88,937.07,923.43,932.88
"477",2002-11-26,913.31,932.87,912.11,913.31
"478",2002-11-27,938.87,940.42,913.31,938.87
